Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Htl,CZ01,cDXGF,5413255622.39,0.0,136350688970.31,5413255622.39,0.0,136350688970.31
Htl,CZ01,cDXHP,0.0,1509913643.45,150688407594.78,0.0,1723908216.41,150688407594.78
Htl,CZ01,cPTAC,0.0,0.0,134605354991.55,0.0,0.0,134605354991.55
Htl,CZ01,cPVVG,0.0,0.0,0.0,5325342408.03,0.0,134895575129.73
Htl,CZ02,cDXGF,4854730640.09,0.0,218503488425.99,4854730640.09,0.0,218547031443.27
Htl,CZ02,cDXHP,0.0,1454203169.06,221956265191.8,0.0,1625954480.36,221956265191.8
Htl,CZ02,cPTAC,0.0,0.0,215464881146.17,0.0,0.0,215504347971.53
Htl,CZ02,cPVVG,0.0,0.0,0.0,4837386398.15,0.0,216498763225.29
Htl,CZ03,cDXGF,2031981599.75,0.0,205545873605.59,2031981599.75,0.0,205566041022.55
Htl,CZ03,cDXHP,0.0,536590910.0,214193217463.92,0.0,536590910.0,214193217463.92
Htl,CZ03,cPTAC,0.0,0.0,204355866636.58,0.0,0.0,204376034016.37
Htl,CZ03,cPVVG,0.0,0.0,0.0,2024453762.85,0.0,203507079577.0
Htl,CZ04,cDXGF,3282130006.82,0.0,262021968466.59,3282130006.82,0.0,263085442761.23
Htl,CZ04,cDXHP,0.0,1028453564.24,263618765330.42,0.0,1064876431.82,264214575127.02
Htl,CZ04,cPTAC,0.0,0.0,259638871001.34,0.0,0.0,260702345517.25
Htl,CZ04,cPVVG,0.0,0.0,0.0,3269559768.51,0.0,260777682294.08
Htl,CZ05,cDXGF,1301100052.86,0.0,208601769244.55,1301100052.86,0.0,209011704212.33
Htl,CZ05,cDXHP,0.0,366797625.7,218957725446.5,0.0,369509225.61,218957725446.5
Htl,CZ05,cPTAC,0.0,0.0,207652358403.34,0.0,0.0,208062293618.1
Htl,CZ05,cPVVG,0.0,0.0,0.0,1293985876.4,0.0,206896146572.6
Htl,CZ06,cDXGF,87954011.95,0.0,267839093007.36,87954011.95,0.0,268778176238.06
Htl,CZ06,cDXHP,0.0,21024507.04,278858390418.78,0.0,21024507.04,279083940954.14
Htl,CZ06,cPTAC,0.0,0.0,267688320873.95,0.0,0.0,268627404474.89
Htl,CZ06,cPVVG,0.0,0.0,0.0,88115442.97,0.0,266276825582.69
Htl,CZ07,cDXGF,25289430.65,0.0,267128542091.05,25289430.65,0.0,267673275976.53
Htl,CZ07,cDXHP,0.0,6077000.52,275962456882.48,0.0,6077000.52,275962456882.48
Htl,CZ07,cPTAC,0.0,0.0,267022940943.55,0.0,0.0,267567674672.85
Htl,CZ07,cPVVG,0.0,0.0,0.0,25267050.6,0.0,265171581608.43
Htl,CZ08,cDXGF,138742004.53,0.0,313858634280.77,138742004.53,0.0,314733063085.81
Htl,CZ08,cDXHP,0.0,34066435.81,316124436474.89,0.0,34066435.81,316741058838.88
Htl,CZ08,cPTAC,0.0,0.0,313681095717.79,0.0,0.0,314555524454.63
Htl,CZ08,cPVVG,0.0,0.0,0.0,139116776.9,0.0,311958020165.06
Htl,CZ09,cDXGF,407539815.81,0.0,306884687059.06,407539815.81,0.0,307966589721.84
Htl,CZ09,cDXHP,0.0,103669988.98,308318053172.41,0.0,103669988.98,309197525732.51
Htl,CZ09,cPTAC,0.0,0.0,306595837779.73,0.0,0.0,307677744597.0
Htl,CZ09,cPVVG,0.0,0.0,0.0,410655024.3,0.0,305195583913.88
Htl,CZ10,cDXGF,269742889.05,0.0,316653697150.25,269742889.05,0.0,318140875421.1
Htl,CZ10,cDXHP,0.0,70233931.56,317332724570.73,0.0,70233931.56,318694883648.85
Htl,CZ10,cPTAC,0.0,0.0,316387885757.62,0.0,0.0,317875063502.92
Htl,CZ10,cPVVG,0.0,0.0,0.0,269655329.56,0.0,315319469107.85
Htl,CZ11,cDXGF,7835995553.78,0.0,301070773932.92,7835995553.78,0.0,302733878705.33
Htl,CZ11,cDXHP,0.0,2264464594.55,301914014394.7,0.0,2360988173.33,303110376770.25
Htl,CZ11,cPTAC,0.0,0.0,297908899456.31,0.0,0.0,299572004303.21
Htl,CZ11,cPVVG,0.0,0.0,3867499.53,7905743363.1,0.0,300194897367.84
Htl,CZ12,cDXGF,5497417756.37,0.0,260172980530.28,5497417756.37,0.0,260308400682.07
Htl,CZ12,cDXHP,0.0,1538386984.93,261831548780.19,0.0,1641371049.25,261831548780.19
Htl,CZ12,cPTAC,0.0,0.0,256961410212.57,0.0,0.0,257096830351.08
Htl,CZ12,cPVVG,0.0,0.0,0.0,5528218513.66,0.0,258042285420.52
Htl,CZ13,cDXGF,4929254452.98,0.0,319787579530.67,4929254452.98,0.0,320881506301.44
Htl,CZ13,cDXHP,0.0,1326404661.68,320556809057.8,0.0,1326404661.68,321408629617.73
Htl,CZ13,cPTAC,0.0,0.0,315968698526.02,0.0,0.0,317062624820.45
