File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Source EUI,Total Energy/Net Site Energy,Total Energy/Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Unmet Heating,Unmet Cooling,Conditioned Area,Electricity:Facility [J](Hourly),Area ft2,DEER Peak kW/ft2
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-0%UC-AOE/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-0%UC-AOE,DMo&0&rDXGF&Ex&dxAC_equip,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-0%UC-AOE,48.3,79.33,33440.88,54924.02,13.46259227,1.97889263,0.12998467,1.26005582,0.0,5.22575174,0.0,0.13894608,0.0,0.0,0.0,0.0,4.72896537,0.0,0.0,0.0,0.12998467,1.97889263,0.0,2.08013719,3.14561455,0.0,0.0,230.77,0.00088642,2484.0,0.00088642
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-0%UC-NR/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-0%UC-NR,DMo&0&rDXGF&Ex&dxAC_equip,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-0%UC-NR,48.26,79.19,33409.31,54824.05,13.44988286,1.97889263,0.11727526,1.26005582,0.0,5.22575174,0.0,0.13894608,0.0,0.0,0.0,0.0,4.72896537,0.0,0.0,0.0,0.11727526,1.97889263,0.0,2.08013719,3.14561455,0.0,0.0,230.77,0.00086123,2484.0,0.00086123
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-22.5%UC-AOE/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-22.5%UC-AOE,DMo&0&rDXGF&Ex&dxAC_equip,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-22.5%UC-AOE,48.15,78.83,33331.47,54577.53,13.41854612,1.97889263,0.08593852,1.26005582,0.0,5.22575174,0.0,0.13894608,0.0,0.0,0.0,0.0,4.72896537,0.0,0.0,0.0,0.08593852,1.97889263,0.0,2.08013719,3.14561455,0.0,0.0,230.77,0.00079911,2484.0,0.00079911
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-15%UC-AOE/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-15%UC-AOE,DMo&0&rDXGF&Ex&dxAC_equip,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-15%UC-AOE,48.21,79.05,33379.18,54728.62,13.43775316,1.97889263,0.10514555,1.26005582,0.0,5.22575174,0.0,0.13894608,0.0,0.0,0.0,0.0,4.72896537,0.0,0.0,0.0,0.10514555,1.97889263,0.0,2.08013719,3.14561455,0.0,0.0,230.77,0.00083718,2484.0,0.00083718
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,DMo&0&rDXGF&Ex&dxAC_equip,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,48.35,79.49,33474.59,55030.79,13.47616321,1.97889263,0.14355561,1.26005582,0.0,5.22575174,0.0,0.13894608,0.0,0.0,0.0,0.0,4.72896537,0.0,0.0,0.0,0.14355561,1.97889263,0.0,2.08013719,3.14561455,0.0,0.0,230.77,0.00091332,2484.0,0.00091332
runs/CZ01/DMo&0&rDXHP&Ex&dxHP_equip/RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE/instance-out.sql,CZ01,DMo,weighted,rDXHP,Ex,dxHP_equip,,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,DMo&0&rDXHP&Ex&dxHP_equip,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,44.25,81.31,30634.08,56290.44,12.33263788,0.79250875,0.13008129,1.26005582,0.0,5.22575174,0.0,0.19845529,0.0,0.0,0.0,0.0,4.72578097,0.0,0.0,0.79250875,0.13008129,0.0,0.0,2.08013719,3.14561455,0.0,0.0,230.77,0.00088631,2484.0,0.00088631
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-30%UC-AOE/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-30%UC-AOE,DMo&0&rDXGF&Ex&dxAC_equip,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-30%UC-AOE,48.08,78.62,33283.77,54426.44,13.39933908,1.97889263,0.0667355,1.26005582,0.0,5.22575174,0.0,0.13894608,0.0,0.0,0.0,0.0,4.72896537,0.0,0.0,0.0,0.0667355,1.97889263,0.0,2.08013719,3.14561455,0.0,0.0,230.77,0.00076104,2484.0,0.00076104
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-40%UC-AOE/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-40%UC-AOE,DMo&0&rDXGF&Ex&dxAC_equip,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-40%UC-AOE,47.98,78.32,33220.16,54224.99,13.37373104,1.97889263,0.04112746,1.26005582,0.0,5.22575174,0.0,0.13894608,0.0,0.0,0.0,0.0,4.72896537,0.0,0.0,0.0,0.04112746,1.97889263,0.0,2.08013719,3.14561455,0.0,0.0,230.77,0.00071028,2484.0,0.00071028
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR,DMo&0&rDXGF&Ex&dxAC_equip,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-NR,48.3,79.33,33439.73,54920.38,13.46212931,1.97889263,0.12952171,1.26005582,0.0,5.22575174,0.0,0.13894608,0.0,0.0,0.0,0.0,4.72896537,0.0,0.0,0.0,0.12952171,1.97889263,0.0,2.08013719,3.14561455,0.0,0.0,230.77,0.0008855,2484.0,0.0008855
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,DMo&0&rDXGF&Ex&dxAC_equip,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,48.28,79.27,33426.89,54879.7,13.45695617,1.97889263,0.12435259,1.26005582,0.0,5.22575174,0.0,0.13894608,0.0,0.0,0.0,0.0,4.72896537,0.0,0.0,0.0,0.12435259,1.97889263,0.0,2.08013719,3.14561455,0.0,0.0,230.77,0.00087525,2484.0,0.00087525
