File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Source EUI,Total Energy/Net Site Energy,Total Energy/Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Unmet Heating,Unmet Cooling,Conditioned Area,Electricity:Facility [J](Hourly)
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,47.69,78.2,33014.15,54140.37,33014.15,4647.88,116.75,3129.96,0.0,12980.689999999999,0.0,397.12,0.0,0.0,0.0,0.0,11741.74,0.0,0.0,0.0,116.75,4647.88,0.0,5167.03,7813.66,0.0,0.0,230.77,6162508.2235572245
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +30% RCA LSC R22 R410a rDXGF Measure,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Measure,47.79,78.53,33086.85,54370.61,33086.85,4647.88,189.45,3129.96,0.0,12980.689999999999,0.0,397.12,0.0,0.0,0.0,0.0,11741.74,0.0,0.0,0.0,189.45,4647.88,0.0,5167.03,7813.66,0.0,0.0,230.77,6675237.83532073
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,47.95,79.03,33195.9,54715.96,33195.9,4647.88,298.5,3129.96,0.0,12980.689999999999,0.0,397.12,0.0,0.0,0.0,0.0,11741.74,0.0,0.0,0.0,298.5,4647.88,0.0,5167.03,7813.66,0.0,0.0,230.77,7444332.253106913
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure,47.87,78.78,33141.37,54543.28,33141.380000000005,4647.88,243.97,3129.96,0.0,12980.689999999999,0.0,397.12,0.0,0.0,0.0,0.0,11741.74,0.0,0.0,0.0,243.97,4647.88,0.0,5167.03,7813.66,0.0,0.0,230.77,7059785.044124992
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE LSC R22 R410a rDXGF Measure,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Measure,48.05,79.36,33266.41,54939.28,33266.42,4647.88,369.02,3129.96,0.0,12980.689999999999,0.0,397.12,0.0,0.0,0.0,0.0,11741.74,0.0,0.0,0.0,369.02,4647.88,0.0,5167.03,7813.66,0.0,0.0,230.77,7941679.976700934
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure,48.03,79.28,33250.42,54888.63,33250.42,4647.88,353.02,3129.96,0.0,12980.689999999999,0.0,397.12,0.0,0.0,0.0,0.0,11741.74,0.0,0.0,0.0,353.02,4647.88,0.0,5167.03,7813.66,0.0,0.0,230.77,7828879.461766677
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Base/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE R22 R410a rDXGF Base,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Base,48.11,79.53,33304.94,55061.31,33304.95,4647.88,407.54,3129.96,0.0,12980.689999999999,0.0,397.12,0.0,0.0,0.0,0.0,11741.74,0.0,0.0,0.0,407.54,4647.88,0.0,5167.03,7813.66,0.0,0.0,230.77,8213426.670597479
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Measure/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM NR LSC R454b rDXGF Measure,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Measure,48.0,79.19,33230.34,54825.03,33230.34,4647.88,332.94,3129.96,0.0,12980.689999999999,0.0,397.12,0.0,0.0,0.0,0.0,11741.74,0.0,0.0,0.0,332.94,4647.88,0.0,5167.03,7813.66,0.0,0.0,230.77,7687233.842842331
runs/CZ01/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ01,DMo,weighted,rDXHP,Ex,dxHP_equip,,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,43.76,79.73,30294.57,55199.81,30294.570000000003,1815.66,298.3,3129.96,0.0,12980.689999999999,0.0,323.8,0.0,0.0,0.0,0.0,11746.15,0.0,0.0,1815.66,298.3,0.0,0.0,5167.03,7813.66,0.0,0.0,230.77,7444487.924267523
runs/CZ01/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Measure/instance-out.sql,CZ01,DMo,weighted,rDXHP,Ex,dxHP_equip,,LRM AOE LSC R22 R410a rDXHP Measure,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Measure,44.03,80.59,30482.37,55794.56,30482.36,1932.99,368.78,3129.96,0.0,12980.689999999999,0.0,323.8,0.0,0.0,0.0,0.0,11746.15,0.0,0.0,1932.99,368.78,0.0,0.0,5167.03,7813.66,0.0,0.0,230.77,7941871.478936137
runs/CZ01/DMo&0&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Base/instance-out.sql,CZ01,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM NR R454b rDXGF Base,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Base,48.05,79.35,33265.1,54935.12,33265.1,4647.88,367.7,3129.96,0.0,12980.689999999999,0.0,397.12,0.0,0.0,0.0,0.0,11741.74,0.0,0.0,0.0,367.7,4647.88,0.0,5167.03,7813.66,0.0,0.0,230.77,7932413.122663498
runs/CZ01/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ01,DMo,weighted,rDXHP,Ex,dxHP_equip,,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Measure,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Measure,43.97,80.4,30439.77,55659.67,30439.77,1906.38,352.79,3129.96,0.0,12980.689999999999,0.0,323.8,0.0,0.0,0.0,0.0,11746.15,0.0,0.0,1906.38,352.79,0.0,0.0,5167.03,7813.66,0.0,0.0,230.77,7829062.8373663835
runs/CZ01/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ01,DMo,weighted,rDXHP,Ex,dxHP_equip,,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Measure,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Measure,43.55,79.07,30149.37,54739.95,30149.36,1724.95,243.82,3129.96,0.0,12980.689999999999,0.0,323.8,0.0,0.0,0.0,0.0,11746.15,0.0,0.0,1724.95,243.82,0.0,0.0,5167.03,7813.66,0.0,0.0,230.77,7059913.010846482
runs/CZ02/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ02,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,54.59,91.01,37793.28,63006.04,37793.28999999999,8000.76,1360.59,3129.96,0.0,12980.689999999999,0.0,922.4,0.0,0.0,0.0,0.0,11398.87,0.0,0.0,0.0,1360.59,8000.76,0.0,5167.03,7813.66,0.0,0.0,230.77,14026785.00329514
runs/CZ01/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ01,DMo,weighted,rDXHP,Ex,dxHP_equip,,LRM AOE +40% RCA LSC R22 R410a rDXHP Measure,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Measure,43.06,77.52,29810.56,53666.95,29810.56,1513.28,116.68,3129.96,0.0,12980.689999999999,0.0,323.8,0.0,0.0,0.0,0.0,11746.15,0.0,0.0,1513.28,116.68,0.0,0.0,5167.03,7813.66,0.0,0.0,230.77,6162571.546587465
runs/CZ02/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ02,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +30% RCA LSC R22 R410a rDXGF Measure,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Measure,53.87,88.73,37296.23,61431.88,37296.240000000005,8000.76,863.54,3129.96,0.0,12980.689999999999,0.0,922.4,0.0,0.0,0.0,0.0,11398.87,0.0,0.0,0.0,863.54,8000.76,0.0,5167.03,7813.66,0.0,0.0,230.77,11390194.778220724
runs/CZ01/DMo&0&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ01,DMo,weighted,rDXHP,Ex,dxHP_equip,,LRM AOE +30% RCA LSC R22 R410a rDXHP Measure,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Measure,43.34,78.4,30004.16,54280.09,30004.16,1634.23,189.33,3129.96,0.0,12980.689999999999,0.0,323.8,0.0,0.0,0.0,0.0,11746.15,0.0,0.0,1634.23,189.33,0.0,0.0,5167.03,7813.66,0.0,0.0,230.77,6675338.097603114
runs/CZ02/DMo&0&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ02,DMo,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,53.39,87.22,36964.87,60382.44,36964.869999999995,8000.76,532.18,3129.96,0.0,12980.689999999999,0.0,922.4,0.0,0.0,0.0,0.0,11398.87,0.0,0.0,0.0,532.18,8000.76,0.0,5167.03,7813.66,0.0,0.0,230.77,9632467.961826526
