File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Source EUI,Total Energy/Net Site Energy,Total Energy/Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Unmet Heating,Unmet Cooling,Conditioned Area,Electricity:Facility [J](Hourly)
runs/CZ01/MFm&0&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,MFm,0,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,51.33,86.88,263696.9,446295.67,263696.9,22362.5,903.49,14740.46,0.0,73945.06,0.0,1705.48,0.0,0.0,0.0,0.0,150039.9,0.0,0.0,0.0,903.49,22362.5,0.0,59678.04,14267.02,0.0,0.0,2283.19,54063880.428860255
runs/CZ01/MFm&0&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,MFm,0,rDXGF,Ex,dxAC_equip,,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure,51.3,86.77,263531.87,445773.02,263531.87,22362.5,738.46,14740.46,0.0,73945.06,0.0,1705.48,0.0,0.0,0.0,0.0,150039.9,0.0,0.0,0.0,738.46,22362.5,0.0,59678.04,14267.02,0.0,0.0,2283.19,52923643.03884035
runs/CZ01/MFm&0&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,MFm,0,rDXGF,Ex,dxAC_equip,,LRM AOE +30% RCA LSC R22 R410a rDXGF Measure,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Measure,51.27,86.67,263366.84,445250.36,263366.83999999997,22362.5,573.43,14740.46,0.0,73945.06,0.0,1705.48,0.0,0.0,0.0,0.0,150039.9,0.0,0.0,0.0,573.43,22362.5,0.0,59678.04,14267.02,0.0,0.0,2283.19,51783405.64934723
runs/CZ01/MFm&0&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,MFm,0,rDXGF,Ex,dxAC_equip,,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,51.22,86.54,263146.8,444553.5,263146.8,22362.5,353.39,14740.46,0.0,73945.06,0.0,1705.48,0.0,0.0,0.0,0.0,150039.9,0.0,0.0,0.0,353.39,22362.5,0.0,59678.04,14267.02,0.0,0.0,2283.19,50263089.12995047
runs/CZ01/MFm&0&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,MFm,0,rDXGF,Ex,dxAC_equip,,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure,51.36,86.98,263861.93,446818.32,263861.93,22362.5,1068.52,14740.46,0.0,73945.06,0.0,1705.48,0.0,0.0,0.0,0.0,150039.9,0.0,0.0,0.0,1068.52,22362.5,0.0,59678.04,14267.02,0.0,0.0,2283.19,55204117.81792491
runs/CZ01/MFm&0&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,MFm,0,rDXGF,Ex,dxAC_equip,,LRM AOE LSC R22 R410a rDXGF Measure,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Measure,51.37,87.01,263910.34,446971.63,263910.33999999997,22362.5,1116.93,14740.46,0.0,73945.06,0.0,1705.48,0.0,0.0,0.0,0.0,150039.9,0.0,0.0,0.0,1116.93,22362.5,0.0,59678.04,14267.02,0.0,0.0,2283.19,55538587.45321899
runs/CZ01/MFm&0&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Base/instance-out.sql,CZ01,MFm,0,rDXGF,Ex,dxAC_equip,,LRM AOE R22 R410a rDXGF Base,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Base,51.4,87.08,264026.96,447340.97,264026.95999999996,22362.5,1233.55,14740.46,0.0,73945.06,0.0,1705.48,0.0,0.0,0.0,0.0,150039.9,0.0,0.0,0.0,1233.55,22362.5,0.0,59678.04,14267.02,0.0,0.0,2283.19,56344355.20749672
runs/CZ01/MFm&0&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Measure/instance-out.sql,CZ01,MFm,0,rDXGF,Ex,dxAC_equip,,LRM NR LSC R454b rDXGF Measure,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Measure,51.35,86.94,263801.14,446625.8,263801.15,22362.5,1007.73,14740.46,0.0,73945.06,0.0,1705.48,0.0,0.0,0.0,0.0,150039.9,0.0,0.0,0.0,1007.73,22362.5,0.0,59678.04,14267.02,0.0,0.0,2283.19,54784118.33006582
runs/CZ01/MFm&0&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Base/instance-out.sql,CZ01,MFm,0,rDXGF,Ex,dxAC_equip,,LRM NR R454b rDXGF Base,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Base,51.37,87.0,263906.36,446959.03,263906.36,22362.5,1112.95,14740.46,0.0,73945.06,0.0,1705.48,0.0,0.0,0.0,0.0,150039.9,0.0,0.0,0.0,1112.95,22362.5,0.0,59678.04,14267.02,0.0,0.0,2283.19,55511109.9076419
runs/CZ01/MFm&0&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ01,MFm,0,rDXHP,Ex,dxHP_equip,,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,49.07,88.77,252059.54,456022.64,252059.53999999998,11068.33,904.27,14740.46,0.0,73945.06,0.0,1362.18,0.0,0.0,0.0,0.0,150039.23,0.0,0.0,11068.33,904.27,0.0,0.0,59678.04,14267.02,0.0,0.0,2283.19,54071382.54624086
