skip,case_name,:vfd_curve_name,:supplyfan_total_eff,:motor_eff,:cooling_coil_cop,:cooling_coil_cop2,:coil_type,:hvac_type,:heating_coil_cop
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-15%UC-AOE,,0.12,0.24,4.409977745,,,unitary_system,2.307129593
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-22.5%UC-AOE,,0.12,0.24,5.395518212,,,unitary_system,2.461501516
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-30%UC-AOE,,0.12,0.24,6.948328529,,,unitary_system,2.638013126
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-40%UC-AOE,,0.12,0.24,11.27478358,,,unitary_system,2.916903813
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-7.5%UC-AOE,,0.12,0.24,3.72886639,,,unitary_system,2.170977734
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,,0.12,0.24,3.567253102,,,unitary_system,2.134036212
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,,0.12,0.24,3.23,,,unitary_system,2.05
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-NR,,0.12,0.24,3.953797556,,,unitary_system,2.685762647
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-NR,,0.12,0.24,3.58,,,unitary_system,2.58
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-NC,,0.12,0.24,3.953797556,,,unitary_system,2.685762647
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-NC,,0.12,0.24,3.58,,,unitary_system,2.58
