File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Source EUI,Total Energy/Net Site Energy,Total Energy/Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Unmet Heating,Unmet Cooling,Conditioned Area,Electricity:Facility [J](Hourly)
runs/CZ01/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,42.62,75.45,32782.93,58031.1,32782.93,7521.73,41.67,1557.5,457.71,10338.53,0.0,473.89,0.0,0.0,0.0,0.0,12391.89,0.0,0.0,0.0,41.67,7521.73,0.0,8268.27,2070.26,0.0,0.0,270.12,7127974.883854634
runs/CZ01/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure,42.61,75.42,32775.32,58007.0,32775.32,7521.73,34.06,1557.5,457.71,10338.53,0.0,473.89,0.0,0.0,0.0,0.0,12391.89,0.0,0.0,0.0,34.06,7521.73,0.0,8268.27,2070.26,0.0,0.0,270.12,6998338.8512076
runs/CZ01/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE +30% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Measure,42.6,75.39,32767.71,57982.89,32767.71,7521.73,26.45,1557.5,457.71,10338.53,0.0,473.89,0.0,0.0,0.0,0.0,12391.89,0.0,0.0,0.0,26.45,7521.73,0.0,8268.27,2070.26,0.0,0.0,270.12,6868702.818620457
runs/CZ01/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure,42.63,75.48,32790.54,58055.21,32790.54,7521.73,49.28,1557.5,457.71,10338.53,0.0,473.89,0.0,0.0,0.0,0.0,12391.89,0.0,0.0,0.0,49.28,7521.73,0.0,8268.27,2070.26,0.0,0.0,270.12,7257610.916393066
runs/CZ01/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,42.59,75.35,32757.56,57950.75,32757.559999999998,7521.73,16.3,1557.5,457.71,10338.53,0.0,473.89,0.0,0.0,0.0,0.0,12391.89,0.0,0.0,0.0,16.3,7521.73,0.0,8268.27,2070.26,0.0,0.0,270.12,6695854.775162678
runs/CZ01/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Measure/instance-out.sql,CZ01,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Measure,42.64,75.49,32792.78,58062.28,32792.78,7521.73,51.52,1557.5,457.71,10338.53,0.0,473.89,0.0,0.0,0.0,0.0,12391.89,0.0,0.0,0.0,51.52,7521.73,0.0,8268.27,2070.26,0.0,0.0,270.12,7295637.486070515
runs/CZ01/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Base/instance-out.sql,CZ01,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE R22 R410a rDXGF Base,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Base,42.64,75.51,32798.16,58079.32,32798.16,7521.73,56.9,1557.5,457.71,10338.53,0.0,473.89,0.0,0.0,0.0,0.0,12391.89,0.0,0.0,0.0,56.9,7521.73,0.0,8268.27,2070.26,0.0,0.0,270.12,7387246.948989155
runs/CZ01/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Measure/instance-out.sql,CZ01,SFm,1,rDXGF,Ex,dxAC_equip,,LRM NR LSC R454b rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Measure,42.63,75.47,32787.74,58046.33,32787.74,7521.73,46.48,1557.5,457.71,10338.53,0.0,473.89,0.0,0.0,0.0,0.0,12391.89,0.0,0.0,0.0,46.48,7521.73,0.0,8268.27,2070.26,0.0,0.0,270.12,7209860.274468503
runs/CZ01/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Base/instance-out.sql,CZ01,SFm,1,rDXGF,Ex,dxAC_equip,,LRM NR R454b rDXGF Base,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Base,42.64,75.49,32792.59,58061.7,32792.59,7521.73,51.33,1557.5,457.71,10338.53,0.0,473.89,0.0,0.0,0.0,0.0,12391.89,0.0,0.0,0.0,51.33,7521.73,0.0,8268.27,2070.26,0.0,0.0,270.12,7292513.505023525
runs/CZ01/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ01,SFm,1,rDXHP,Ex,dxHP_equip,,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,36.17,75.38,27818.1,57974.19,27818.1,2681.87,41.7,1557.5,457.71,10338.53,0.0,348.38,0.0,0.0,0.0,0.0,12392.41,0.0,0.0,2681.87,41.7,0.0,0.0,8268.27,2070.26,0.0,0.0,270.12,7127992.460267996
