File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Source EUI,Total Energy/Net Site Energy,Total Energy/Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Unmet Heating,Unmet Cooling,Conditioned Area,Electricity:Facility [J](Hourly),Area ft2,DEER Peak kW/ft2
runs/CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ10,SFm,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,43.7314,86.7514,36268.7344,72077.4856,8.78566925,1.50839994,0.5300796,0.39937755,0.11087477,3.15179527,0.0,0.24058408,0.0,0.0,0.0,0.0,2.8445546,0.0,0.0,0.0,0.5300796,1.50839994,0.0,2.52908961,0.62270566,0.0,0.0,383.52,0.00128731,4128.2,0.00128731
runs/CZ11/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ11,SFm,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,52.4431,98.2667,42300.1031,79338.2464,11.8289446,3.36606834,0.82944075,0.4495106,0.12799558,3.30038142,0.0,0.44359625,0.0,0.0,0.0,0.0,3.31195315,0.0,0.0,0.0,0.82944075,3.36606834,0.0,2.64482037,0.65556106,0.0,0.0,332.22,0.00159132,3576.0,0.00159132
runs/CZ12/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ12,SFm,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,51.2369,92.3411,41300.5624,74470.8127,11.54942964,3.56183248,0.42426761,0.4495106,0.12799558,3.30038142,0.0,0.34077412,0.0,0.0,0.0,0.0,3.34466438,0.0,0.0,0.0,0.42426761,3.56183248,0.0,2.64482037,0.65556106,0.0,0.0,332.22,0.00130518,3576.0,0.00130518
runs/CZ13/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ13,SFm,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,54.3575,103.3791,43877.4551,83537.9361,12.27003916,3.49494824,1.0815487,0.4495106,0.12799558,3.30038142,0.0,0.52574813,0.0,0.0,0.0,0.0,3.28990584,0.0,0.0,0.0,1.0815487,3.49494824,0.0,2.64482037,0.65556106,0.0,0.0,332.22,0.00189038,3576.0,0.00189038
runs/CZ14/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ14,SFm,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,55.6688,98.4224,43988.0128,77785.3028,13.50860522,4.75655414,0.59567956,0.4863063,0.14056159,3.40943787,0.0,0.48568302,0.0,0.0,0.0,0.0,3.63438236,0.0,0.0,0.0,0.59567956,4.75655414,0.0,2.72976224,0.67967564,0.0,0.0,302.52,0.00116895,3256.3,0.00116895
runs/CZ15/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ15,SFm,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,46.998,102.9544,37111.7172,81438.8864,11.39691253,1.16116027,2.07968293,0.4863063,0.14056159,3.40943787,0.0,0.63926296,0.0,0.0,0.0,0.0,3.48050257,0.0,0.0,0.0,2.07968293,1.16116027,0.0,2.72976224,0.67967564,0.0,0.5896,302.52,0.00232459,3256.3,0.00232459
runs/CZ16/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ16,SFm,weighted,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,44.4142,81.6368,36146.7386,66512.9139,9.49110992,2.18859651,0.10805969,0.42663007,0.12018171,3.23256727,0.0,0.19818079,0.0,0.0,0.0,0.0,3.21689407,0.0,0.0,0.0,0.10805969,2.18859651,0.0,2.59200129,0.64056598,0.0,0.0,353.82,0.00087172,3808.5,0.00087172
runs/CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ10,SFm,weighted,rDXHP,Ex,dxHP_equip,,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,38.8648,86.6556,32148.5586,72000.303,7.78760457,0.52900571,0.53009884,0.39937755,0.11087477,3.15179527,0.0,0.22197957,0.0,0.0,0.0,0.0,2.84446943,0.0,0.0,0.52900571,0.53009884,0.0,0.0,2.52908961,0.62270566,0.0,0.0,383.52,0.0012873,4128.2,0.0012873
runs/CZ11/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ11,SFm,weighted,rDXHP,Ex,dxHP_equip,,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,42.6131,97.8041,34269.4197,78977.7088,9.58321484,1.17777886,0.82944589,0.4495106,0.12799558,3.30038142,0.0,0.38609164,0.0,0.0,0.0,0.0,3.3120102,0.0,0.0,1.17777886,0.82944589,0.0,0.0,2.64482037,0.65556106,0.0,0.0,332.22,0.00159132,3576.0,0.00159132
runs/CZ12/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ12,SFm,weighted,rDXHP,Ex,dxHP_equip,,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,40.8852,92.0329,32856.7946,74260.9587,9.18818571,1.2581873,0.42428906,0.4495106,0.12799558,3.30038142,0.0,0.28319149,0.0,0.0,0.0,0.0,3.34462898,0.0,0.0,1.2581873,0.42428906,0.0,0.0,2.64482037,0.65556106,0.0,0.0,332.22,0.00130518,3576.0,0.00130518
